COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
ME,7183,1127,4851,3390,2332,3327,75949809.940136433245,140448930.41536400,0.04998485307482581036,0.03657921291624621594
MF,5906,695,1889,820,4017,2348,229128411.24280393,270540272.72727273,0.08230277185501066098,0.06461538461538461538
MG,55169,1955,45183,39900,9986,12024,51717986.956442929906,72500803.512826438641,0.18055118605675454603,0.18160443901062729239
MH,624,63,227,53,397,220,66191815.384615384615,99075481.318681318681,0.00000000000000000000,0.00000000000000000000
MK,6444,517,2569,1785,3875,4659,137002981.00558659,257434793.29608939,0.03707790774663429706,0.04613610149942329873
ML,1038,113,418,236,620,802,57217609.248554913295,301227357.22543353,0.00626959247648902821,0.00488997555012224939
MM,14289,1243,7058,5677,7231,8203,105895380.894394289313,159713182.47838617,0.07056657803231744733,0.06351680467608377983
MN,50040,979,24524,21378,25516,28662,54859754.244604316547,81267213.237410071942,0.14709722780233025311,0.13665528679692985642
MO,3156,276,341,4,2815,56,189874895.81749049,189334080.00000000,0.00387596899224806202,0.00000000000000000000
MP,9676,311,2108,945,7568,5124,146956372.38528317,158412940.78101829,0.01300082732537525115,0.01381469883956529748
MQ,5985,718,3088,2216,2897,2668,129018514.28571429,163833894.84029484,0.13731269958241218374,0.10673515981735159817
MR,2855,209,1720,1047,1135,1624,152956900.87565674,267721543.69150131,0.06698564593301435407,0.13336326897171082173
MS,5605,219,502,335,5103,4453,254792073.93398751,278827831.57894737,0.00873281308063916760,0.01614639397201291712
MT,6794,780,2775,1062,4019,2753,177458071.47483073,199997044.08912189,0.01420838971583220568,0.00582590815627141878
MU,5562,899,4501,2399,1061,790,30368885.436893203883,38650981.749764816557,0.01064395955295369878,0.01935483870967741935
MV,2415,540,1639,28,776,6,89193492.670807453416,5854870.588235294118,0.00981354268891069676,0.00000000000000000000
MW,11710,656,6051,4642,5659,7068,96217622.408198121264,152667833.441502988898,0.03921568627450980392,0.04521340728237279961
MX,1436729,41090,397929,302494,1038800,1057452,215367913.61822584,247852653.89772829,0.09415349103734372856,0.08003732190556401904
MY,224824,7571,101150,80975,123674,131575,183002758.04006690,232998288.84685956,0.11230549455738943590,0.10539579096657739124
